asset_id,source_path,normalized_path,sha256,duplicate_of,file_name,extension,file_size_bytes,width,height,part_number,part_number_source,recognition_confidence,product_description,category,image_quality,visible_flaws,suggested_edit_prompt,cat_fitment_status,cat_fitment_summary,cat_fitment_sources,selected_for_site,web_asset_path
043b46563ddb,.asset-staging/extracted/7-PNG/IMG_20231213_152426.png,.asset-staging/extracted/7-PNG/IMG_20231213_152426.png,1456ce0f988fb8d218086afa2ba46584d8e982cabd5c9a7c0a974248ecfac5c5,,IMG_20231213_152426.png,.png,4799871,3378,3378,,none,unreadable,Product type requires visual review.,Needs Review,high,,"Clean the product photo while preserving the exact part: crop to the part, remove distracting background clutter, correct exposure and white balance, keep labels and part-number markings legible, avoid changing the physical product shape, and output a realistic catalog-ready industrial product image.",no_part_number,,,False,
e6a8977b3ae6,.asset-staging/extracted/7-PNG/微信图片_20260121094535_1_2.png,.asset-staging/extracted/7-PNG/微信图片_20260121094535_1_2.png,d1f3b0f36c807ad0addb23d337d298d94809885f9b64bf97c239f7fedd931036,,微信图片_20260121094535_1_2.png,.png,3255412,3060,3060,,none,unreadable,Product type requires visual review.,Needs Review,high,social app source name,"Clean the product photo while preserving the exact part: crop to the part, remove distracting background clutter, correct exposure and white balance, keep labels and part-number markings legible, avoid changing the physical product shape, and output a realistic catalog-ready industrial product image.",no_part_number,,,False,
29d4332685e9,.asset-staging/extracted/7-PNG/微信图片_20260121094536_2_2.png,.asset-staging/extracted/7-PNG/微信图片_20260121094536_2_2.png,5fbf2118c3f5c28ca2d711e6f0cfc9e63f98468baa29dcb2240d692272de7538,,微信图片_20260121094536_2_2.png,.png,2734184,3066,3066,,none,unreadable,Product type requires visual review.,Needs Review,high,social app source name,"Clean the product photo while preserving the exact part: crop to the part, remove distracting background clutter, correct exposure and white balance, keep labels and part-number markings legible, avoid changing the physical product shape, and output a realistic catalog-ready industrial product image.",no_part_number,,,False,
4cc1c2e8bbdb,.asset-staging/extracted/7-PNG/微信图片_20260121094536_3_2.png,.asset-staging/extracted/7-PNG/微信图片_20260121094536_3_2.png,52593d231ab52dda07c2a3ef6402a066e8bff0b27cb92b9e4a5ba0495f612b4e,,微信图片_20260121094536_3_2.png,.png,10629887,3716,3716,,none,unreadable,Product type requires visual review.,Needs Review,high,social app source name,"Clean the product photo while preserving the exact part: crop to the part, remove distracting background clutter, correct exposure and white balance, keep labels and part-number markings legible, avoid changing the physical product shape, and output a realistic catalog-ready industrial product image.",no_part_number,,,False,
9815ce30cfa0,.asset-staging/extracted/7-PNG/微信图片_20260121094537_4_2.png,.asset-staging/extracted/7-PNG/微信图片_20260121094537_4_2.png,cf216bee26587da950218da5ca3b479186f414adf6ca61984904f9abd9d30a11,,微信图片_20260121094537_4_2.png,.png,10574064,3750,3750,,none,unreadable,Product type requires visual review.,Needs Review,high,social app source name,"Clean the product photo while preserving the exact part: crop to the part, remove distracting background clutter, correct exposure and white balance, keep labels and part-number markings legible, avoid changing the physical product shape, and output a realistic catalog-ready industrial product image.",no_part_number,,,False,
a82ed0cbe13a,.asset-staging/extracted/7-PNG/微信图片_20260121124238_21_3.png,.asset-staging/extracted/7-PNG/微信图片_20260121124238_21_3.png,7f4f5eeb69b802f0016e10d0036edc3aee485fb4197f9ac0d8b369622b4ba217,,微信图片_20260121124238_21_3.png,.png,7309013,3456,3456,,none,unreadable,Product type requires visual review.,Needs Review,high,social app source name,"Clean the product photo while preserving the exact part: crop to the part, remove distracting background clutter, correct exposure and white balance, keep labels and part-number markings legible, avoid changing the physical product shape, and output a realistic catalog-ready industrial product image.",no_part_number,,,False,
99d13397e60e,.asset-staging/extracted/7-PNG/微信图片_20260121124239_22_3.png,.asset-staging/extracted/7-PNG/微信图片_20260121124239_22_3.png,f73efc3c684ae7774656026fd5c76d165566a9e178a864b621ec686f3c4a58c6,,微信图片_20260121124239_22_3.png,.png,9817719,3424,3424,,none,unreadable,Product type requires visual review.,Needs Review,high,social app source name,"Clean the product photo while preserving the exact part: crop to the part, remove distracting background clutter, correct exposure and white balance, keep labels and part-number markings legible, avoid changing the physical product shape, and output a realistic catalog-ready industrial product image.",no_part_number,,,False,
63cfd3784075,.asset-staging/extracted/7-PNG/微信图片_20260121124240_23_3.png,.asset-staging/extracted/7-PNG/微信图片_20260121124240_23_3.png,c616e55758dc5f6c065d0955fc12200f2ec903f9e59ad6a1d1904ccdec534180,,微信图片_20260121124240_23_3.png,.png,4244844,3204,3204,,none,unreadable,Product type requires visual review.,Needs Review,high,social app source name,"Clean the product photo while preserving the exact part: crop to the part, remove distracting background clutter, correct exposure and white balance, keep labels and part-number markings legible, avoid changing the physical product shape, and output a realistic catalog-ready industrial product image.",no_part_number,,,False,
e1578aecf4eb,.asset-staging/extracted/UNIDENTIFIED/网站主图/3412E.jpg,.asset-staging/extracted/UNIDENTIFIED/网站主图/3412E.jpg,a04ca82f220c6f736bd1f68d40e3a8c5f75410c92c684827f66dab7055309776,,3412E.jpg,.jpg,4919797,3072,4096,3412E,filename,medium,Diesel engine component or related replacement part.,Engine Parts,high,,"Clean the product photo while preserving the exact part: crop to the part, remove distracting background clutter, correct exposure and white balance, keep labels and part-number markings legible, avoid changing the physical product shape, and output a realistic catalog-ready industrial product image.",pending_lookup,,,True,assets/products/3412E/3412E.jpg
f1cf412e1800,.asset-staging/extracted/UNIDENTIFIED/网站主图/C15.jpg,.asset-staging/extracted/UNIDENTIFIED/网站主图/C15.jpg,39d893b00453ae5439067d18151dc9d0b88c98b7001396b574063641f73fcf1b,,C15.jpg,.jpg,3361456,4096,3072,C15,filename,medium,Diesel engine component or related replacement part.,Engine Parts,high,,"Clean the product photo while preserving the exact part: crop to the part, remove distracting background clutter, correct exposure and white balance, keep labels and part-number markings legible, avoid changing the physical product shape, and output a realistic catalog-ready industrial product image.",pending_lookup,,,True,assets/products/C15/C15.jpg
